amfi_code,Maximum Drawdown (%),Drawdown Rank
120507,-0.09773140045925681,1
120844,-0.11629327956168764,2
101208,-0.16224980244717319,3
100025,-4.308263824636346,4
119120,-4.328728923970098,5
118636,-8.316361763638701,6
102885,-10.859862152502323,7
148567,-11.26572907502827,8
101206,-11.291596329323077,9
118635,-11.650624505409093,10
119552,-11.8034935027643,11
120504,-12.588275606922513,12
120843,-12.97396816518679,13
120503,-13.897862823061635,14
119092,-14.401617909337267,15
149322,-14.844576917771747,16
119551,-15.012385498645333,17
125497,-15.200013055606393,18
148568,-15.27259422823477,19
100033,-16.21720857464485,20
148569,-16.396742946932633,21
149323,-17.24810575345138,22
118632,-17.41407508665723,23
120841,-17.573614164687285,24
120505,-18.188513572116292,25
118633,-18.629743138595508,26
120506,-19.82565826298267,27
119094,-20.960883862039193,28
125498,-21.117279560132122,29
102887,-21.53982711238323,30
119093,-21.75139637014823,31
118634,-23.34488614483311,32
120842,-24.003511326274882,33
100016,-24.7344408806733,34
102886,-28.00112356639287,35
119598,-28.706005721764555,36
149324,-31.17190030063422,37
101207,-35.44691649336603,38
119095,-51.67775370852657,39
119599,-52.574221170128496,40
